Time	Correlation	Intensity
2010-11-05 01:08:15	6.96083996e-04	3.55002869e-12
2010-11-05 01:08:16	6.81734935e-04	3.47684827e-12
2010-11-05 01:08:17	6.80208439e-04	3.46906316e-12
2010-11-05 01:08:18	6.85398525e-04	3.49553260e-12
2010-11-05 01:08:19	6.92420406e-04	3.53134405e-12
2010-11-05 01:08:20	6.68607012e-04	3.40989607e-12
2010-11-05 01:08:21	7.01274141e-04	3.57649844e-12
2010-11-05 01:08:22	6.73491799e-04	3.43480830e-12
2010-11-05 01:08:23	6.83566730e-04	3.48619059e-12
2010-11-05 01:08:24	6.64027524e-04	3.38654042e-12
2010-11-05 01:08:25	6.83872029e-04	3.48774749e-12
2010-11-05 01:08:26	6.96083996e-04	3.55002869e-12
2010-11-05 01:08:27	6.78071287e-04	3.45816363e-12
2010-11-05 01:08:28	6.93031005e-04	3.53445847e-12
2010-11-05 01:08:29	6.67996414e-04	3.40678196e-12
2010-11-05 01:08:30	6.96694595e-04	3.55314248e-12
2010-11-05 01:08:31	6.73491799e-04	3.43480830e-12
2010-11-05 01:08:32	6.84177328e-04	3.48930439e-12
2010-11-05 01:08:33	6.87535619e-04	3.50643150e-12
2010-11-05 01:08:34	6.76544791e-04	3.45037883e-12
2010-11-05 01:08:35	6.81124337e-04	3.47373417e-12
2010-11-05 01:08:36	6.91504509e-04	3.52667336e-12
2010-11-05 01:08:37	6.87840919e-04	3.50798840e-12
2010-11-05 01:08:38	6.82956132e-04	3.48307617e-12
2010-11-05 01:08:39	6.49983704e-04	3.31491690e-12
2010-11-05 01:08:40	6.76544791e-04	3.45037883e-12
2010-11-05 01:08:41	6.87535619e-04	3.50643150e-12
2010-11-05 01:08:42	6.73491799e-04	3.43480830e-12
2010-11-05 01:08:43	6.63416926e-04	3.38342663e-12
2010-11-05 01:08:44	6.69217610e-04	3.41301018e-12
2010-11-05 01:08:45	6.71965303e-04	3.42702319e-12
2010-11-05 01:08:46	6.70744106e-04	3.42079497e-12
2010-11-05 01:08:47	6.72881200e-04	3.43169419e-12
2010-11-05 01:08:48	6.72575901e-04	3.43013698e-12
2010-11-05 01:08:49	6.59753336e-04	3.36474230e-12
2010-11-05 01:08:50	6.69217610e-04	3.41301018e-12
